Region,Route_Type,Time_Period,Concorde_Room_Pct,First_Lounge_Pct,Club_Lounge_Pct
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Morning,7.19,21.56,43.12
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Night,5.46,16.39,32.77
North America,Long-Haul,Night,5.46,16.39,32.77
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Other,Other,Afternoon,3.0,10.0,22.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
North America,Long-Haul,Evening,6.9,20.7,41.4
Middle East,Long-Haul,Afternoon,5.25,15.75,31.5
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Other,Other,Evening,3.6,12.0,26.4
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
North America,Long-Haul,Morning,7.19,21.56,43.12
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Evening,2.4,9.6,24.0
Other,Other,Evening,3.6,12.0,26.4
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Night,4.99,14.96,29.92
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Other,Other,Evening,3.6,12.0,26.4
North America,Long-Haul,Morning,7.19,21.56,43.12
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
North America,Long-Haul,Evening,6.9,20.7,41.4
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Other,Other,Afternoon,3.0,10.0,22.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Night,5.46,16.39,32.77
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Night,8.36,20.9,36.57
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Other,Other,Night,2.85,9.5,20.9
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
Other,Other,Evening,3.6,12.0,26.4
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Other,Other,Evening,3.6,12.0,26.4
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Middle East,Long-Haul,Night,4.99,14.96,29.92
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Middle East,Long-Haul,Night,4.99,14.96,29.92
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Night,5.46,16.39,32.77
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
Europe,Short-Haul,Night,1.9,7.6,19.0
Middle East,Long-Haul,Night,4.99,14.96,29.92
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Asia,Ultra Long-Haul,Night,8.36,20.9,36.57
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Morning,7.19,21.56,43.12
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Other,Other,Afternoon,3.0,10.0,22.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Afternoon,5.25,15.75,31.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Other,Other,Night,2.85,9.5,20.9
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Middle East,Long-Haul,Evening,6.3,18.9,37.8
North America,Long-Haul,Morning,7.19,21.56,43.12
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Night,5.46,16.39,32.77
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Night,1.9,7.6,19.0
Middle East,Long-Haul,Night,4.99,14.96,29.92
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Other,Other,Morning,3.75,12.5,27.5
North America,Long-Haul,Night,5.46,16.39,32.77
Other,Other,Afternoon,3.0,10.0,22.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
North America,Long-Haul,Evening,6.9,20.7,41.4
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Evening,2.4,9.6,24.0
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Other,Other,Morning,3.75,12.5,27.5
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
Asia,Ultra Long-Haul,Night,8.36,20.9,36.57
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Middle East,Long-Haul,Evening,6.3,18.9,37.8
North America,Long-Haul,Evening,6.9,20.7,41.4
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Night,1.9,7.6,19.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Morning,7.19,21.56,43.12
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
Asia,Ultra Long-Haul,Afternoon,8.8,22.0,38.5
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Other,Other,Morning,3.75,12.5,27.5
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Evening,10.56,26.4,46.2
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Asia,Ultra Long-Haul,Morning,11.0,27.5,48.13
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Evening,2.4,9.6,24.0
Other,Other,Evening,3.6,12.0,26.4
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Night,1.9,7.6,19.0
North America,Long-Haul,Night,5.46,16.39,32.77
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Middle East,Long-Haul,Morning,6.56,19.69,39.38
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Morning,7.19,21.56,43.12
North America,Long-Haul,Afternoon,5.75,17.25,34.5
Europe,Short-Haul,Morning,2.5,10.0,25.0
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Evening,2.4,9.6,24.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
North America,Long-Haul,Evening,6.9,20.7,41.4
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Afternoon,5.75,17.25,34.5
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Other,Other,Afternoon,3.0,10.0,22.0
Europe,Short-Haul,Night,1.9,7.6,19.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
North America,Long-Haul,Morning,7.19,21.56,43.12
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Europe,Short-Haul,Morning,2.5,10.0,25.0
Other,Other,Evening,3.6,12.0,26.4
Middle East,Long-Haul,Evening,6.3,18.9,37.8
Other,Other,Night,2.85,9.5,20.9
Europe,Short-Haul,Night,1.9,7.6,19.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Europe,Short-Haul,Afternoon,2.0,8.0,20.0
Other,Other,Morning,3.75,12.5,27.5
Europe,Short-Haul,Evening,2.4,9.6,24.0
North America,Long-Haul,Evening,6.9,20.7,41.4
